Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	stage 2 embryo	textual definition	Nuclear divisions 3-8. The egg cytoplasm contracts producing a clear separation from the vitelline membrane and empty spaces at the anterior and posterior. The cleavage nuclei migrate towards the periphery. Duration at 25 degrees C approximately 40 minutes (25-65 minutes AEL).
ERROR	duplicate_definition	embryonic stage 2	textual definition	Nuclear divisions 3-8. The egg cytoplasm contracts producing a clear separation from the vitelline membrane and empty spaces at the anterior and posterior. The cleavage nuclei migrate towards the periphery. Duration at 25 degrees C approximately 40 minutes (25-65 minutes AEL).
ERROR	duplicate_definition	stage 4 embryo	textual definition	<Nuclear division 10-13. Polar buds divide twice and become tightly grouped at the posterior pole by the end of this stage. Nuclei visible at the rim of the embryo. Stage 4 ends with the beginning of cellularization. Duration at 25 degrees C: approximately 50 minutes (80-130 minutes after egg laying).>
ERROR	duplicate_definition	embryonic stage 4	textual definition	<Nuclear division 10-13. Polar buds divide twice and become tightly grouped at the posterior pole by the end of this stage. Nuclei visible at the rim of the embryo. Stage 4 ends with the beginning of cellularization. Duration at 25 degrees C: approximately 50 minutes (80-130 minutes after egg laying).>
ERROR	duplicate_definition	early extended germ band embryo	textual definition	A collective term for stages 9 and 10.
ERROR	duplicate_definition	early extended germ band stage	textual definition	A collective term for stages 9 and 10.
ERROR	duplicate_definition	dorsal closure embryo	textual definition	A collective term for stages 13-15.
ERROR	duplicate_definition	dorsal closure stage	textual definition	A collective term for stages 13-15.
ERROR	duplicate_definition	late extended germ band embryo	textual definition	A collective term for stages 11 and 12.
ERROR	duplicate_definition	late extended germ band stage	textual definition	A collective term for stages 11 and 12.
ERROR	duplicate_definition	cleavage stage embryo	textual definition	A collective term for stages 1-4.
ERROR	duplicate_definition	cleavage stage	textual definition	A collective term for stages 1-4.
ERROR	duplicate_definition	embryo	textual definition	.
ERROR	duplicate_definition	adult	textual definition	.
ERROR	duplicate_definition	ventral ectoderm	textual definition	.
ERROR	duplicate_definition	anterior ectoderm derivative	textual definition	.
ERROR	duplicate_definition	ventral ectoderm derivative	textual definition	.
ERROR	multiple_equivalent_classes	cell	owl:equivalentClass	<http://purl.obolibrary.org/obo/CL_0000003>
ERROR	multiple_equivalent_classes	cell	owl:equivalentClass	<http://purl.obolibrary.org/obo/GO_0005623>
ERROR	multiple_equivalent_classes	collection of organisms	owl:equivalentClass	74a51894-2d7a-408c-b44c-be6b14d247b9genid6834
ERROR	multiple_equivalent_classes	collection of organisms	owl:equivalentClass	74a51894-2d7a-408c-b44c-be6b14d247b9genid6840
ERROR	missing_label	GO:0005623	label	
ERROR	missing_label	GO:0019012	label	
ERROR	missing_label	dc11:source	label	
