Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	PATO:0002051	IAO:0000115	A quality of a process that has a value that is increased compared to normal or average.	
ERROR	duplicate_definition	PATO:0002304	IAO:0000115	A quality of a process that has a value that is increased compared to normal or average.	
ERROR	missing_label	BFO:0000035	rdfs:label		
ERROR	missing_label	BFO:0000051	rdfs:label		
ERROR	missing_label	RO:0002211	rdfs:label		
ERROR	deprecated_class_reference	FBcv:0000437	oboInOwl:consider	FBcv:0000436	
ERROR	deprecated_class_reference	FBcv:0000437	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	dpo.owl	dc11:description		
ERROR	duplicate_label	FBcv:0000349	rdfs:label	viable	
ERROR	duplicate_label	PATO:0000719	rdfs:label	viable	
ERROR	duplicate_label	FBcv:0000416	rdfs:label	uncoordinated	
ERROR	duplicate_label	PATO:0000770	rdfs:label	uncoordinated	
ERROR	duplicate_label	FBcv:0000364	rdfs:label	sterile	
ERROR	duplicate_label	PATO:0000956	rdfs:label	sterile	
ERROR	duplicate_label	FBcv:0000371	rdfs:label	male semi-sterile	
ERROR	duplicate_label	PATO:0001762	rdfs:label	male semi-sterile	
ERROR	duplicate_label	FBcv:0000006	rdfs:label	male semi-fertile	
ERROR	duplicate_label	PATO:0001761	rdfs:label	male semi-fertile	
ERROR	duplicate_label	FBcv:0000376	rdfs:label	male fertile	
ERROR	duplicate_label	PATO:0000891	rdfs:label	male fertile	
ERROR	duplicate_label	FBcv:0006001	rdfs:label	increased fecundity	
ERROR	duplicate_label	PATO:0001695	rdfs:label	increased fecundity	
ERROR	duplicate_label	FBcv:0000374	rdfs:label	fertile	
ERROR	duplicate_label	PATO:0000955	rdfs:label	fertile	
ERROR	duplicate_label	FBcv:0000366	rdfs:label	female sterile	
ERROR	duplicate_label	PATO:0000892	rdfs:label	female sterile	
ERROR	duplicate_label	FBcv:0000367	rdfs:label	female semi-sterile	
ERROR	duplicate_label	PATO:0001763	rdfs:label	female semi-sterile	
ERROR	duplicate_label	FBcv:0000007	rdfs:label	female semi-fertile	
ERROR	duplicate_label	PATO:0001760	rdfs:label	female semi-fertile	
ERROR	duplicate_label	FBcv:0000377	rdfs:label	female fertile	
ERROR	duplicate_label	PATO:0000888	rdfs:label	female fertile	
ERROR	duplicate_label	FBcv:0006002	rdfs:label	decreased fecundity	
ERROR	duplicate_label	PATO:0001696	rdfs:label	decreased fecundity	
ERROR	duplicate_label	CL:0000000	rdfs:label	cell	
ERROR	duplicate_label	FBbt:00007002	rdfs:label	cell	
ERROR	missing_ontology_license	dpo.owl	dc:license		
ERROR	missing_ontology_title	dpo.owl	dc11:title		
ERROR	multiple_labels	oboInOwl:SubsetProperty	rdfs:label	subset_property	
ERROR	multiple_labels	oboInOwl:SubsetProperty	rdfs:label	subset_property@en	
ERROR	multiple_labels	oboInOwl:inSubset	rdfs:label	in_subset	
ERROR	multiple_labels	oboInOwl:inSubset	rdfs:label	in_subset@en	
WARN	annotation_whitespace	FBcv:0002004	IAO:0000115	A phenotype that is an increase in the rate of death in a population at any stage of life (during development or adulthood), over the rate seen in a wild type control population. 	
WARN	annotation_whitespace	PATO:0001241	oboInOwl:hasExactSynonym	multiply inhering quality of a physical entity 	
WARN	multiple_asserted_superclasses	FBbt:00004508	rdfs:subClassOf	FBbt:00004113	
WARN	multiple_asserted_superclasses	FBbt:00004508	rdfs:subClassOf	FBbt:00005162	
WARN	multiple_asserted_superclasses	FBbt:00004508	rdfs:subClassOf	FBbt:00007235	
WARN	multiple_asserted_superclasses	FBbt:00007234	rdfs:subClassOf	FBbt:00005155	
WARN	multiple_asserted_superclasses	FBbt:00007234	rdfs:subClassOf	FBbt:00007230	
WARN	multiple_asserted_superclasses	FBbt:00007235	rdfs:subClassOf	FBbt:00005168	
WARN	multiple_asserted_superclasses	FBbt:00007235	rdfs:subClassOf	FBbt:00007234	
WARN	multiple_asserted_superclasses	FBcv:0000006	rdfs:subClassOf	FBcv:0000375	
