defined_class	defined_class_label	behavior_process	behavior_process_label
FBcv:0000387	abnormal behavior	GO:0007610	behavior
FBcv:0000403	abnormal chemosensory behavior	GO:0007635	chemosensory behavior
FBcv:0000679	abnormal circadian behavior	GO:0048512	circadian behavior
FBcv:0000396	abnormal eclosion rhythm	GO:0008062	eclosion rhythm
FBcv:0000419	abnormal feeding behavior	GO:0007631	feeding behavior
FBcv:0000420	abnormal grooming behavior	GO:0007625	grooming behavior
FBcv:0000669	abnormal hatching behavior	GO:0035187	hatching behavior
FBcv:0000720	abnormal jump response	GO:0007630	jump response
FBcv:0000397	abnormal learning	GO:0007612	learning
FBcv:0000414	abnormal locomotor behavior	GO:0007626	locomotory behavior
FBcv:0000395	abnormal locomotor rhythm	GO:0045475	locomotor rhythm
FBcv:0000401	abnormal mating rhythm	GO:0035648	circadian mating behavior
FBcv:0000398	abnormal memory	GO:0007613	memory
FBcv:0000412	abnormal optomotor response	GO:0007634	optokinetic behavior
FBcv:0006004	abnormal oviposition	GO:0018991	egg-laying behavior
FBcv:0000680	abnormal proboscis extension reflex	GO:0007637	proboscis extension reflex
FBcv:0000402	abnormal song	GO:0045433	male courtship behavior, veined wing generated song production
FBcv:0000411	abnormal visual behavior	GO:0007632	visual behavior
FBcv:0000721	abnormal mating behavior	GO:0007617	mating behavior
FBcv:0000400	abnormal mating	GO:0007618	mating
FBcv:0000399	abnormal courtship behavior	GO:0007619	courtship behavior
FBcv:0007500	abnormal anesthesia-resistant memory	GO:0007615	anesthesia-resistant memory
FBcv:0007501	abnormal short-term memory	GO:0007614	short-term memory
FBcv:0007502	abnormal medium-term memory	GO:0072375	medium-term memory
FBcv:0007503	abnormal long-term memory	GO:0007616	long-term memory
FBcv:0000415	abnormal jumping	NBO:0000016	jumping behavior
FBcv:0000416	uncoordinated	NBO:0000339	motor coordination
FBcv:0000421	abnormal touch response	NBO:0000332	touch related behavior
FBcv:0007527	abnormal adult walking behavior	GO:0007628	adult walking behavior
FBcv:0007528	abnormal larval locomotory behavior	GO:0008345	larval locomotory behavior
FBcv:0007529	abnormal adult locomotory behavior	GO:0008344	adult locomotory behavior
