defined_class	defined_class_label	biological_process	biological_process_label
FBcv:0000384	abnormal aging	GO:0007568	obsolete aging
FBcv:0000407	abnormal auditory perception	GO:0007605	sensory perception of sound
FBcv:0000686	abnormal axis specification	GO:0009798	axis specification
FBcv:0000668	abnormal cell adhesion	GO:0007155	cell adhesion
FBcv:0000671	abnormal cell cycle	GO:0007049	cell cycle
FBcv:0000424	abnormal cell death	GO:0008219	cell death
FBcv:0000427	abnormal cell growth	GO:0016049	cell growth
FBcv:0000716	abnormal cell migration	GO:0016477	cell migration
FBcv:0000394	abnormal circadian rhythm	GO:0007623	circadian rhythm
FBcv:0000684	abnormal cold stress response	GO:0009409	response to cold
FBcv:0006000	abnormal copulation	GO:0007620	copulation
FBcv:0000433	abnormal cytokinesis	GO:0000910	cytokinesis
FBcv:0000706	abnormal diapause	GO:0055115	entry into diapause
FBcv:0000423	abnormal DNA repair	GO:0006281	DNA repair
FBcv:0000324	abnormal dorsal/ventral axis specification	GO:0009950	dorsal/ventral axis specification
FBcv:0000670	abnormal eclosion	GO:0007562	eclosion
FBcv:0000672	abnormal endomitotic cell cycle	GO:0007113	endomitotic cell cycle
FBcv:0000417	abnormal flight	GO:0060361	flight
FBcv:0000388	abnormal gravitaxis	GO:0048060	negative gravitaxis
FBcv:0000410	abnormal heat stress response	GO:0009408	response to heat
FBcv:0000448	abnormal immune response	GO:0006955	immune response
FBcv:0000431	abnormal meiotic cell cycle	GO:0051321	meiotic cell cycle
FBcv:0000432	abnormal mitotic cell cycle	GO:0000278	mitotic cell cycle
FBcv:0000409	abnormal osmotic stress response	GO:0006970	response to osmotic stress
FBcv:0000725	abnormal oxidative stress response	GO:0006979	response to oxidative stress
FBcv:0000393	abnormal pain response	GO:0048265	response to pain
FBcv:0000422	photoperiod response variant	GO:0043153	entrainment of circadian clock by photoperiod
FBcv:0000413	abnormal phototaxis	GO:0042331	phototaxis
FBcv:0000449	abnormal planar polarity	GO:0001736	establishment of planar polarity
FBcv:0000707	abnormal reproductive diapause	GO:0055116	entry into reproductive diapause
FBcv:0000681	abnormal sensory perception	GO:0007600	sensory perception
FBcv:0000436	abnormal sex-determination	GO:0007530	sex determination
FBcv:0000705	abnormal sleep	GO:0030431	sleep
FBcv:0000404	abnormal smell perception	GO:0007608	sensory perception of smell
FBcv:0000708	abnormal starvation stress response	GO:0042594	response to starvation
FBcv:0000408	abnormal stress response	GO:0006950	response to stress
FBcv:0000405	abnormal taste perception	GO:0050909	sensory perception of taste
FBcv:0000683	abnormal temperature response	GO:0009266	response to temperature stimulus
FBcv:0000002	abnormal thermotaxis	GO:0043052	thermotaxis
FBcv:0000682	abnormal touch perception	GO:0050975	sensory perception of touch
FBcv:0004000	abnormal visual perception	GO:0050953	sensory perception of light stimulus
FBcv:0000451	abnormal wound healing	GO:0042060	wound healing
