defined_class	defined_class_label	label	before	before_label	during	during_label	during_substage	during_substage_label	rate_min	rate_max_exclusive	rate_max_inclusive
FBcv:0000350	partially lethal - majority live	partially lethal - majority live	FBdv:00007026	mature adult stage					5	50	
FBcv:0000351	lethal	lethal	FBdv:00007026	mature adult stage					98		100
FBcv:0000352	partially lethal - majority die	partially lethal - majority die	FBdv:00007026	mature adult stage					50	98	
FBcv:0000385	short lived	short lived			FBdv:00007026	mature adult stage			5		100
FBcv:0002000	lethal - all die before end of P-stage	lethal - all die before end of P-stage	FBdv:00005370	adult stage A1					98		100
FBcv:0002001	lethal - all die before end of first instar larval stage	lethal - all die before end of first instar larval stage	FBdv:00005338	second instar larval stage					98		100
FBcv:0002002	lethal - all die before end of larval stage	lethal - all die before end of larval stage	FBdv:00005342	prepupal stage					98		100
FBcv:0002003	lethal - all die before end of second instar larval stage	lethal - all die before end of second instar larval stage	FBdv:00005339	third instar larval stage					98		100
FBcv:0002004	increased mortality	increased mortality							5		100
FBcv:0002005	lethal - all die during P-stage	lethal - all die during P-stage					FBdv:00007001	P-stage	98		100
FBcv:0002006	lethal - all die during first instar larval stage	lethal - all die during first instar larval stage					FBdv:00005337	first instar larval stage	98		100
FBcv:0002007	lethal - all die during larval stage	lethal - all die during larval stage					FBdv:00005336	larval stage	98		100
FBcv:0002008	lethal - all die during second instar larval stage	lethal - all die during second instar larval stage					FBdv:00005338	second instar larval stage	98		100
FBcv:0002009	lethal - all die during third instar larval stage	lethal - all die during third instar larval stage					FBdv:00005339	third instar larval stage	98		100
FBcv:0002010	majority die during P-stage	majority die during P-stage					FBdv:00007001	P-stage	50		100
FBcv:0002011	majority die during first instar larval stage	majority die during first instar larval stage					FBdv:00005337	first instar larval stage	50		100
FBcv:0002012	majority die during larval stage	majority die during larval stage					FBdv:00005336	larval stage	50		100
FBcv:0002013	majority die during second instar larval stage	majority die during second instar larval stage					FBdv:00005338	second instar larval stage	50		100
FBcv:0002014	majority die during third instar larval stage	majority die during third instar larval stage					FBdv:00005339	third instar larval stage	50		100
FBcv:0002015	partially lethal	partially lethal	FBdv:00007026	mature adult stage					5	98	
FBcv:0002019	increased mortality during development	increased mortality during development	FBdv:00007026	mature adult stage					5		100
FBcv:0002020	some die during P-stage	some die during P-stage			FBdv:00007001	P-stage			5		100
FBcv:0002021	some die during first instar larval stage	some die during first instar larval stage			FBdv:00005337	first instar larval stage			5		100
FBcv:0002022	some die during second instar larval stage	some die during second instar larval stage			FBdv:00005338	second instar larval stage			5		100
FBcv:0002023	some die during larval stage	some die during larval stage			FBdv:00005336	larval stage			5		100
FBcv:0002024	some die during third instar larval stage	some die during third instar larval stage			FBdv:00005339	third instar larval stage			5		100
FBcv:0002025	lethal - all die during pharate adult stage	lethal - all die during pharate adult stage					FBdv:00006011	pharate adult stage	98		100
FBcv:0002026	lethal - all die before end of prepupal stage	lethal - all die before end of prepupal stage	FBdv:00005349	pupal stage					98		100
FBcv:0002027	lethal - all die before end of pupal stage	lethal - all die before end of pupal stage	FBdv:00006011	pharate adult stage					98		100
FBcv:0002030	lethal - all die during pupal stage	lethal - all die during pupal stage					FBdv:00005349	pupal stage	98		100
FBcv:0002031	lethal - all die during prepupal stage	lethal - all die during prepupal stage					FBdv:00005342	prepupal stage	98		100
FBcv:0002033	lethal - all die during embryonic stage	lethal - all die during embryonic stage					FBdv:00005289	embryonic stage	98		100
FBcv:0002034	majority die during pupal stage	majority die during pupal stage					FBdv:00005349	pupal stage	50		100
FBcv:0002035	majority die during prepupal stage	majority die during prepupal stage					FBdv:00005342	prepupal stage	50		100
FBcv:0002036	majority die during pharate adult stage	majority die during pharate adult stage					FBdv:00006011	pharate adult stage	50		100
FBcv:0002037	majority die during embryonic stage	majority die during embryonic stage					FBdv:00005289	embryonic stage	50		100
FBcv:0002038	some die during pharate adult stage	some die during pharate adult stage			FBdv:00006011	pharate adult stage			5		100
FBcv:0002039	some die during pupal stage	some die during pupal stage			FBdv:00005349	pupal stage			5		100
FBcv:0002040	some die during prepupal stage	some die during prepupal stage			FBdv:00005342	prepupal stage			5		100
FBcv:0002041	some die during embryonic stage	some die during embryonic stage			FBdv:00005289	embryonic stage			5		100
FBcv:0002042	lethal - all die during immature adult stage	lethal - all die during immature adult stage					FBdv:00006012	adult stage A3	98		100
FBcv:0002050	majority die during immature adult stage	majority die during immature adult stage					FBdv:00007025	immature adult stage	50		100
FBcv:0002051	some die during immature adult stage	some die during immature adult stage			FBdv:00007025	immature adult stage			5		100
