defined_class	defined_class_label	entity	entity_label	quality	quality_label	
http://purl.obolibrary.org/obo/FBcv_0000387	behavior defective	http://purl.obolibrary.org/obo/GO_0007610	behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000403	chemosensitive behavior defective	http://purl.obolibrary.org/obo/GO_0007635	chemosensory behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000679	circadian behavior defective	http://purl.obolibrary.org/obo/GO_0048512	circadian behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000396	eclosion rhythm defective	http://purl.obolibrary.org/obo/GO_0008062	eclosion rhythm	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000419	feeding behavior defective	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000420	grooming behavior defective	http://purl.obolibrary.org/obo/GO_0007625	grooming behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000669	hatching behavior defective	http://purl.obolibrary.org/obo/GO_0035187	hatching behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000720	jump response defective	http://purl.obolibrary.org/obo/GO_0007630	jump response	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000397	learning defective	http://purl.obolibrary.org/obo/GO_0007612	learning	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000414	locomotor behavior defective	http://purl.obolibrary.org/obo/GO_0007626	locomotory behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000395	locomotor rhythm defective	http://purl.obolibrary.org/obo/GO_0045475	locomotor rhythm	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000401	mating rhythm defective	http://purl.obolibrary.org/obo/GO_0035648	circadian mating behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000398	memory defective	http://purl.obolibrary.org/obo/GO_0007613	memory	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000412	optomotor response defective	http://purl.obolibrary.org/obo/GO_0007634	optokinetic behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0006004	oviposition defective	http://purl.obolibrary.org/obo/GO_0018991	oviposition	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000680	proboscis extension reflex defective	http://purl.obolibrary.org/obo/GO_0007637	proboscis extension reflex	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000402	song defective	http://purl.obolibrary.org/obo/GO_0045433	"male courtship behavior, veined wing generated song production"	http://purl.obolibrary.org/obo/PATO_0000001	quality	
http://purl.obolibrary.org/obo/FBcv_0000411	visual behavior defective	http://purl.obolibrary.org/obo/GO_0007632	visual behavior	http://purl.obolibrary.org/obo/PATO_0000001	quality	
