defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	quality	quality_label
http://purl.obolibrary.org/obo/FBcv_0000356	body color defective	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0000014	color
http://purl.obolibrary.org/obo/FBcv_0000355	eye color defective	http://purl.obolibrary.org/obo/FBbt_00004508	eye	http://purl.obolibrary.org/obo/PATO_0000014	color
http://purl.obolibrary.org/obo/FBcv_0000429	cell shape defective	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/FBcv_0000665	body size defective	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0000117	size
http://purl.obolibrary.org/obo/FBcv_0000428	cell size defective	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/PATO_0000117	size
http://purl.obolibrary.org/obo/FBcv_0000357	size defective	http://purl.obolibrary.org/obo/FBbt_00007001	anatomical structure	http://purl.obolibrary.org/obo/PATO_0000117	size
http://purl.obolibrary.org/obo/FBcv_0000383	auxotroph	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0000422	auxotrophic
http://purl.obolibrary.org/obo/FBcv_0000363	increased cell size	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/PATO_0000586	increased size
http://purl.obolibrary.org/obo/FBcv_0000361	large body	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0000586	increased size
http://purl.obolibrary.org/obo/FBcv_0000360	decreased cell size	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/PATO_0000587	decreased size
http://purl.obolibrary.org/obo/FBcv_0000358	small body	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0000587	decreased size
http://purl.obolibrary.org/obo/FBcv_0000353	cell lethal	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/PATO_0000718	lethal (sensu genetics)
http://purl.obolibrary.org/obo/FBcv_0000416	uncoordinated	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0000770	uncoordinated
http://purl.obolibrary.org/obo/FBcv_0000366	female sterile	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0000892	female sterile
http://purl.obolibrary.org/obo/FBcv_0000364	sterile	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0000956	sterile
http://purl.obolibrary.org/obo/FBcv_0000719	atrophy	http://purl.obolibrary.org/obo/FBbt_00100313	multicellular structure	http://purl.obolibrary.org/obo/PATO_0001623	atrophied
http://purl.obolibrary.org/obo/FBcv_0006001	increased fecundity	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0001695	increased fecundity
http://purl.obolibrary.org/obo/FBcv_0006002	decreased fecundity	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0001696	decreased fecundity
http://purl.obolibrary.org/obo/FBcv_0000007	female semi-fertile	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0001760	female semi-fertile
http://purl.obolibrary.org/obo/FBcv_0000006	male semi-fertile	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0001761	male semi-fertile
http://purl.obolibrary.org/obo/FBcv_0000371	male semi-sterile	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0001762	male semi-sterile
http://purl.obolibrary.org/obo/FBcv_0000367	female semi-sterile	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0001763	female semi-sterile
http://purl.obolibrary.org/obo/FBcv_0000430	cell polarity defective	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/PATO_0001769	positional polarity
http://purl.obolibrary.org/obo/FBcv_0000378	grandchildless	http://purl.obolibrary.org/obo/FBbt_00000001	organism	http://purl.obolibrary.org/obo/PATO_0001862	lack of fertility in offspring
