defined_class	defined_class_label	entity	entity_label	quality	quality_label
http://purl.obolibrary.org/obo/FBcv_0000423	DNA repair defective	http://purl.obolibrary.org/obo/GO_0006281		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000384	aging defective	http://purl.obolibrary.org/obo/GO_0007568		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000407	auditory perception defective	http://purl.obolibrary.org/obo/GO_0007605		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000686	axis specification defective	http://purl.obolibrary.org/obo/GO_0009798		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000387	behavior defective	http://purl.obolibrary.org/obo/GO_0007610		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000356	body color defective	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000014	
http://purl.obolibrary.org/obo/FBcv_0000665	body size defective	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000117	
http://purl.obolibrary.org/obo/FBcv_0000668	cell adhesion defective	http://purl.obolibrary.org/obo/GO_0007155		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000671	cell cycle defective	http://purl.obolibrary.org/obo/GO_0007049		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000427	cell growth defective	http://purl.obolibrary.org/obo/GO_0016049		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000716	cell migration defective	http://purl.obolibrary.org/obo/GO_0016477		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000430	cell polarity defective	http://purl.obolibrary.org/obo/CL_0000000		http://purl.obolibrary.org/obo/PATO_0001769	
http://purl.obolibrary.org/obo/FBcv_0000429	cell shape defective	http://purl.obolibrary.org/obo/CL_0000000		http://purl.obolibrary.org/obo/PATO_0000052	
http://purl.obolibrary.org/obo/FBcv_0000428	cell size defective	http://purl.obolibrary.org/obo/CL_0000000		http://purl.obolibrary.org/obo/PATO_0000117	
http://purl.obolibrary.org/obo/FBcv_0000403	chemosensitive behavior defective	http://purl.obolibrary.org/obo/GO_0007635		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000679	circadian behavior defective	http://purl.obolibrary.org/obo/GO_0048512		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000394	circadian rhythm defective	http://purl.obolibrary.org/obo/GO_0007623		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000684	cold stress response defective	http://purl.obolibrary.org/obo/GO_0009409		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0006000	copulation defective	http://purl.obolibrary.org/obo/GO_0007620		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000433	cytokinesis defective	http://purl.obolibrary.org/obo/GO_0000910		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000706	diapause defective	http://purl.obolibrary.org/obo/GO_0055115		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000324	dorsal/ventral axis specification defective	http://purl.obolibrary.org/obo/GO_0009950		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000670	eclosion defective	http://purl.obolibrary.org/obo/GO_0007562		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000396	eclosion rhythm defective	http://purl.obolibrary.org/obo/GO_0008062		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0001324	endocytosis defective	http://purl.obolibrary.org/obo/GO_0006897		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000672	endomitotic cell cycle defective	http://purl.obolibrary.org/obo/GO_0007113		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0001325	exocytosis defective	http://purl.obolibrary.org/obo/GO_0006887		http://purl.obolibrary.org/obo/PATO_0000001	
