defined_class	defined_class_label	entity	entity_label	quality	quality_label
http://purl.obolibrary.org/obo/FBcv_0000719	atrophy	http://purl.obolibrary.org/obo/FBbt_00100313		http://purl.obolibrary.org/obo/PATO_0001623	
http://purl.obolibrary.org/obo/FBcv_0000383	auxotroph	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000422	
http://purl.obolibrary.org/obo/FBcv_0000353	cell lethal	http://purl.obolibrary.org/obo/CL_0000000		http://purl.obolibrary.org/obo/PATO_0000718	
http://purl.obolibrary.org/obo/FBcv_0000439	chemical resistant	http://purl.obolibrary.org/obo/GO_0042221		http://purl.obolibrary.org/obo/PATO_0001552	
http://purl.obolibrary.org/obo/FBcv_0000440	chemical sensitive	http://purl.obolibrary.org/obo/GO_0042221		http://purl.obolibrary.org/obo/PATO_0001551	
http://purl.obolibrary.org/obo/FBcv_0000718	decreased cell growth	http://purl.obolibrary.org/obo/GO_0016049		http://purl.obolibrary.org/obo/PATO_0000911	
http://purl.obolibrary.org/obo/FBcv_0000360	decreased cell size	http://purl.obolibrary.org/obo/CL_0000000		http://purl.obolibrary.org/obo/PATO_0000587	
http://purl.obolibrary.org/obo/FBcv_0006002	decreased fecundity	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0001696	
http://purl.obolibrary.org/obo/FBcv_0006006	decreased occurrence of cell division	http://purl.obolibrary.org/obo/GO_0051301		http://purl.obolibrary.org/obo/PATO_0002052	
http://purl.obolibrary.org/obo/FBcv_0000791	delayed aging	http://purl.obolibrary.org/obo/GO_0007568		http://purl.obolibrary.org/obo/PATO_0000911	
http://purl.obolibrary.org/obo/FBcv_0000377	female fertile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000888	
http://purl.obolibrary.org/obo/FBcv_0000007	female semi-fertile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0001760	
http://purl.obolibrary.org/obo/FBcv_0000367	female semi-sterile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0001763	
http://purl.obolibrary.org/obo/FBcv_0000366	female sterile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000892	
http://purl.obolibrary.org/obo/FBcv_0000374	fertile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000955	
http://purl.obolibrary.org/obo/FBcv_0000378	grandchildless	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0001862	
http://purl.obolibrary.org/obo/FBcv_0000717	increased cell growth	http://purl.obolibrary.org/obo/GO_0016049		http://purl.obolibrary.org/obo/PATO_0000912	
http://purl.obolibrary.org/obo/FBcv_0000363	increased cell size	http://purl.obolibrary.org/obo/CL_0000000		http://purl.obolibrary.org/obo/PATO_0000586	
http://purl.obolibrary.org/obo/FBcv_0006001	increased fecundity	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0001695	
http://purl.obolibrary.org/obo/FBcv_0006005	increased occurrence of cell division	http://purl.obolibrary.org/obo/GO_0051301		http://purl.obolibrary.org/obo/PATO_0002051	
http://purl.obolibrary.org/obo/FBcv_0000361	large body	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000586	
http://purl.obolibrary.org/obo/FBcv_0000376	male fertile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000891	
http://purl.obolibrary.org/obo/FBcv_0000006	male semi-fertile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0001761	
http://purl.obolibrary.org/obo/FBcv_0000371	male semi-sterile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0001762	
http://purl.obolibrary.org/obo/FBcv_0000389	paralytic	http://purl.obolibrary.org/obo/GO_0050879		http://purl.obolibrary.org/obo/PATO_0001558	
http://purl.obolibrary.org/obo/FBcv_0000792	premature aging	http://purl.obolibrary.org/obo/GO_0007568		http://purl.obolibrary.org/obo/PATO_0000912	
http://purl.obolibrary.org/obo/FBcv_0000441	radiation resistant	http://purl.obolibrary.org/obo/GO_0009314		http://purl.obolibrary.org/obo/PATO_0001552	
http://purl.obolibrary.org/obo/FBcv_0000442	radiation sensitive	http://purl.obolibrary.org/obo/GO_0009314		http://purl.obolibrary.org/obo/PATO_0001551	
http://purl.obolibrary.org/obo/FBcv_0000364	sterile	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000956	
http://purl.obolibrary.org/obo/FBcv_0000416	uncoordinated	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000770	
http://purl.obolibrary.org/obo/FBcv_0000349	viable	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000719	
